          16           0          12          12   4.27649212    
     4.492      0.655     1     0      2.580  2212  2212
     2.981     -0.992     2     0      2.189  2212  2212
     2.739      0.845     3     0      1.300  2212  2212
     2.318      0.299     4     0      1.185  2212  2212
     0.654      2.042     5     0      1.040  2212  2212
    -0.564     -0.257     6     3      0.971     0  2212
     0.386     -0.359     7     3      0.307     0  2112
     2.089     -1.103     8     0      0.143  2112  2112
     0.921     -0.168     9     3      0.128     0  2112
     3.484     -0.157    10     0      0.091  2112  2112
     4.128      0.226    11     0     -0.784  2112  2112
     1.503      1.470    12     3     -2.542     0  2112
    -2.072     -1.906    -1     0     -1.291  2212  2212
    -0.529      0.124    -2     3     -1.125     0  2212
    -1.618      1.965    -3     3     -0.327     0  2212
    -3.809      1.073    -4     0     -0.220  2212  2212
    -4.138     -1.619    -5     0     -0.158  2212  2212
    -3.166     -1.529    -6     0     -0.106  2212  2212
    -0.749      0.790    -7     3     -0.100     0  2112
    -1.490      0.708    -8     1      0.042  2112  2112
    -2.199     -1.007    -9     3      0.394     0  2112
    -1.562      0.586   -10     3      0.436     0  2112
    -0.149     -0.952   -11     3      0.762     0  2112
    -2.246     -0.691   -12     0      0.905  2112  2112
